id,lat,long
1,35.0,-120.0
2,35.0,-119.0
3,35.0,-118.0
4,35.0,-117.0
5,35.0,-116.0
6,35.0,-115.0
7,35.0,-114.0
8,36.0,-120.0
9,36.0,-119.0
10,36.0,-118.0
11,36.0,-117.0
12,36.0,-116.0
13,36.0,-115.0
14,36.0,-114.0
15,37.0,-120.0
16,37.0,-119.0
17,37.0,-118.0
18,37.0,-117.0
19,37.0,-116.0
20,37.0,-115.0
21,37.0,-114.0
22,38.0,-120.0
23,38.0,-119.0
24,38.0,-118.0
25,38.0,-117.0
26,38.0,-116.0
27,38.0,-115.0
28,38.0,-114.0
29,39.0,-120.0
30,39.0,-119.0
31,39.0,-118.0
32,39.0,-117.0
33,39.0,-116.0
34,39.0,-115.0
35,39.0,-114.0
36,40.0,-120.0
37,40.0,-119.0
38,40.0,-118.0
39,40.0,-117.0
40,40.0,-116.0
41,40.0,-115.0
42,40.0,-114.0
43,41.0,-120.0
44,41.0,-119.0
45,41.0,-118.0
46,41.0,-117.0
47,41.0,-116.0
48,41.0,-115.0
49,41.0,-114.0
50,42.0,-120.0
51,42.0,-119.0
52,42.0,-118.0
53,42.0,-117.0
54,42.0,-116.0
55,42.0,-115.0
56,42.0,-114.0
