id,lat,long
1,30.3,-101.5
2,31.8,-101.5
3,33.3,-101.5
4,34.8,-101.5
5,36.3,-101.5
6,37.8,-101.5
7,28.8,-100
8,30.3,-100
9,31.8,-100
10,33.3,-100
11,34.8,-100
12,36.3,-100
13,37.8,-100
14,27.4,-99.4
15,26.3,-98.5
16,27.3,-98.5
17,28.8,-98.5
18,30.3,-98.
19,31.8,-98.5
20,33.3,-98.5
21,34.8,-98.5
22,36.3,-98.5
23,37.8,-98.5
24,26,-97.4
25,27.7,-97.6
26,28.8,-97
27,30.3,-97
28,31.8,-97
29,33.3,-97
30,34.8,-97
31,36.3,-97
32,37.8,-97
33,28.9,-95.5
34,30.3,-95.5
35,31.8,-95.
36,33.3,-95.5
37,34.8,-95.5
38,36.3,-95.5
39,37.8,-95.5
40,30.3,-94
41,31.8,-94
42,33.3,-94
43,34.8,-94
44,36.3,-94
45,37.8,-94
46,30.3,-92.5
47,31.8,-92.5
48,33.3,-92.5
49,34.8,-92.5
50,36.3,-92.5
51,37.8,-92.5
52,29.5,-91
53,30.3,-91
54,31.8,-91
55,33.3,-91
56,34.8,-91
57,36.3,-91
58,37.8,-91
59,29.3,-89.5
60,30.3,-89.5
61,31.8,-89.5
62,33.3,-89.5
63,34.8,-89.5
64,36.3,-89.5
65,37.8,-89.5
66,30.8,-88
67,31.8,-88
68,33.3,-88
69,34.8,-88
70,36.3,-88
71,37.8,-88
72,30.7,-86.5
73,31.8,-86.5
74,33.3,-86.5
75,34.8,-86.5
76,36.3,-86.5
77,37.8,-86.5
78,30.3,-85
79,31.8,-85
80,33.3,-85
81,34.8,-85
82,36.3,-85
83,37.8,-85
84,39,-84.6
85,30.3,-83.5
86,31.8,-83.5
87,33.3,-83.5
88,34.8,-83.5
89,36.3,-83.5
90,37.8,-83.5
91,39.3,-83.5
92,29.5,-83
93,27.3,-82
94,28.8,-82
95,30.3,-82
96,31.8,-82
97,33.3,-82
98,34.8,-82
99,36.3,-82
100,37.8,-82
101,39.3,-82
102,26,-81.6
103,28.8,-81.1
104,32.5,-80.7
105,25.8,-80.5
106,27.3,-80.5
107,33.3,-80.7
108,34.8,-80.5
109,36.3,-80.5
110,37.8,-80.5
111,39.3,-80.8
112,33.3,-79.5
113,34.8,-79
114,36.3,-79
115,37.8,-79
116,39.3,-79
117,34,-78.3
118,34.8,-77.5
119,36.3,-77.5
120,37.8,-77.5
121,39.3,-77.5
122,34.8,-76.8
123,37.8,-76.4
124,36.6,-76.1
125,39.3,-75.9
