id,lat,long
1,27.0,-104.0
2,27.0,-103.0
3,28.0,-104.0
4,28.0,-103.0
5,29.0,-105.0
6,29.0,-104.0
7,29.0,-103.0
8,29.0,-102.0
9,29.0,-101.0
10,29.0,-100.0
11,30.0,-113.0
12,30.0,-112.0
13,30.0,-111.0
14,30.0,-110.0
15,30.0,-109.0
16,30.0,-108.0
17,30.0,-107.0
18,30.0,-106.0
19,30.0,-105.0
20,30.0,-104.0
21,30.0,-103.0
22,30.0,-102.0
23,30.0,-101.0
24,30.0,-100.0
25,31.0,-114.0
26,31.0,-113.0
27,31.0,-112.0
28,31.0,-111.0
29,31.0,-110.0
30,31.0,-109.0
31,31.0,-108.0
32,31.0,-107.0
33,31.0,-106.0
34,31.0,-105.0
35,31.0,-104.0
36,31.0,-103.0
37,31.0,-102.0
38,31.0,-101.0
39,31.0,-100.0
40,32.0,-115.0
41,32.0,-114.0
42,32.0,-113.0
43,32.0,-112.0
44,32.0,-111.0
45,32.0,-110.0
46,32.0,-109.0
47,32.0,-108.0
48,32.0,-107.0
49,32.0,-106.0
50,32.0,-105.0
51,32.0,-104.0
52,32.0,-103.0
53,32.0,-102.0
54,32.0,-101.0
55,32.0,-100.0
56,33.0,-116.0
57,33.0,-115.0
58,33.0,-114.0
59,33.0,-113.0
60,33.0,-112.0
61,33.0,-111.0
62,33.0,-110.0
63,33.0,-109.0
64,33.0,-108.0
65,33.0,-107.0
66,33.0,-106.0
67,33.0,-105.0
68,33.0,-104.0
69,33.0,-103.0
70,33.0,-102.0
71,33.0,-101.0
72,33.0,-100.0
73,33.0,-99.0
74,34.0,-116.0
75,34.0,-115.0
76,34.0,-114.0
77,34.0,-113.0
78,34.0,-112.0
79,34.0,-111.0
80,34.0,-110.0
81,34.0,-109.0
82,34.0,-108.0
83,34.0,-107.0
84,34.0,-106.0
85,34.0,-105.0
86,34.0,-104.0
87,34.0,-103.0
88,34.0,-102.0
89,34.0,-101.0
90,34.0,-100.0
91,34.0,-99.0
92,35.0,-116.0
93,35.0,-115.0
94,35.0,-114.0
95,35.0,-113.0
96,35.0,-112.0
97,35.0,-111.0
98,35.0,-110.0
99,35.0,-109.0
100,35.0,-108.0
101,35.0,-107.0
102,35.0,-106.0
103,35.0,-105.0
104,35.0,-104.0
105,35.0,-103.0
106,35.0,-102.0
107,35.0,-101.0
108,35.0,-100.0
109,35.0,-99.0
110,36.0,-116.0
111,36.0,-115.0
112,36.0,-114.0
113,36.0,-113.0
114,36.0,-112.0
115,36.0,-111.0
116,36.0,-110.0
117,36.0,-109.0
118,36.0,-108.0
119,36.0,-107.0
120,36.0,-106.0
121,36.0,-105.0
122,36.0,-104.0
123,36.0,-103.0
124,36.0,-102.0
125,36.0,-101.0
126,36.0,-100.0
127,36.0,-99.0
128,37.0,-116.0
129,37.0,-115.0
130,37.0,-114.0
131,37.0,-113.0
132,37.0,-112.0
133,37.0,-111.0
134,37.0,-110.0
135,37.0,-109.0
136,37.0,-108.0
137,37.0,-107.0
138,37.0,-106.0
139,37.0,-105.0
140,37.0,-104.0
141,37.0,-103.0
142,37.0,-102.0
143,37.0,-101.0
144,37.0,-100.0
145,37.0,-99.0
