id,long,lat
1,-135.0,25.0
2,-125.0,25.0
3,-115.0,25.0
4,-105.0,25.0
5,-140.0,30.0
6,-130.0,30.0
7,-120.0,30.0
8,-110.0,30.0
9,-135.0,35.0
10,-125.0,35.0
11,-115.0,35.0
12,-105.0,35.0
13,-140.0,40.0
14,-130.0,40.0
15,-110.0,40.0
16,-135.0,45.0
17,-125.0,45.0
18,-115.0,45.0
19,-105.0,45.0
20,-140.0,50.0
21,-130.0,50.0
22,-120.0,50.0
23,-110.0,50.0
24,-119.0,33.0
25,-117.0,33.0
26,-115.0,33.0
27,-120.0,34.0
28,-118.0,34.0
29,-116.0,34.0
30,-121.0,35.0
31,-119.0,35.0
32,-117.0,35.0
33,-122.0,36.0
34,-120.0,36.0
35,-118.0,36.0
36,-116.0,36.0
37,-121.0,37.0
38,-119.0,37.0
39,-117.0,37.0
40,-122.0,38.0
41,-120.0,38.0
42,-121.0,39.0
