id,lat,long
1,43.0,-108.0
2,43.0,-106.0
3,43.0,-104.0
4,43.0,-102.0
5,43.0,-100.0
6,43.0,-98.0
7,43.0,-96.0
8,45.0,-108.0
9,45.0,-106.0
10,45.0,-104.0
11,45.0,-102.0
12,45.0,-100.0
13,45.0,-98.0
14,45.0,-96.0
15,47.0,-108.0
16,47.0,-106.0
17,47.0,-104.0
18,47.0,-102.0
19,47.0,-100.0
20,47.0,-98.0
21,47.0,-96.0
22,49.0,-108.0
23,49.0,-106.0
24,49.0,-104.0
25,49.0,-102.0
26,49.0,-100.0
27,49.0,-98.0
28,49.0,-96.0
29,51.0,-108.0
30,51.0,-106.0
31,51.0,-104.0
32,51.0,-102.0
33,51.0,-100.0
34,51.0,-98.0
35,51.0,-96.0
36,43.0,-118.0
37,43.0,-117.0
38,43.0,-116.0
39,43.0,-115.0
40,43.0,-114.0
41,43.0,-113.0
42,43.0,-112.0
43,43.0,-111.0
44,43.0,-110.0
45,43.0,-109.0
46,44.0,-118.0
47,44.0,-117.0
48,44.0,-116.0
49,44.0,-115.0
50,44.0,-114.0
51,44.0,-113.0
52,44.0,-112.0
53,44.0,-111.0
54,44.0,-110.0
55,44.0,-109.0
56,45.0,-118.0
57,45.0,-117.0
58,45.0,-116.0
59,45.0,-115.0
60,45.0,-114.0
61,45.0,-113.0
62,45.0,-112.0
63,45.0,-111.0
64,45.0,-110.0
65,45.0,-109.0
66,46.0,-118.0
67,46.0,-117.0
68,46.0,-116.0
69,46.0,-115.0
70,46.0,-114.0
71,46.0,-113.0
72,46.0,-112.0
73,46.0,-111.0
74,46.0,-110.0
75,46.0,-109.0
76,47.0,-118.0
77,47.0,-117.0
78,47.0,-116.0
79,47.0,-115.0
80,47.0,-114.0
81,47.0,-113.0
82,47.0,-112.0
83,47.0,-111.0
84,47.0,-110.0
85,47.0,-109.0
86,48.0,-118.0
87,48.0,-117.0
88,48.0,-116.0
89,48.0,-115.0
90,48.0,-114.0
91,48.0,-113.0
92,48.0,-112.0
93,48.0,-111.0
94,48.0,-110.0
95,48.0,-109.0
96,49.0,-118.0
97,49.0,-117.0
98,49.0,-116.0
99,49.0,-115.0
100,49.0,-114.0
101,49.0,-113.0
102,49.0,-112.0
103,49.0,-111.0
104,49.0,-110.0
105,49.0,-109.0
106,50.0,-118.0
107,50.0,-117.0
108,50.0,-116.0
109,50.0,-115.0
110,50.0,-114.0
111,50.0,-113.0
112,50.0,-112.0
113,50.0,-111.0
114,50.0,-110.0
115,50.0,-109.0
116,51.0,-118.0
117,51.0,-117.0
118,51.0,-116.0
119,51.0,-115.0
120,51.0,-114.0
121,51.0,-113.0
122,51.0,-112.0
123,51.0,-111.0
124,51.0,-110.0
125,51.0,-109.0
